epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,3472.67,0.51774,0.28614,0.83715,0.99947,0.99914,0.995,0.89152,0.55228,0.2495,0.8448,0.000495291,0.000495291,0.000495291
134,3498.81,0.51445,0.28059,0.8327,0.99835,0.99875,0.995,0.89393,0.55047,0.24864,0.84201,0.000488218,0.000488218,0.000488218
135,3525.04,0.51643,0.28331,0.83336,0.99796,0.99875,0.995,0.89507,0.54912,0.24858,0.84184,0.000481144,0.000481144,0.000481144
136,3551.19,0.51823,0.28223,0.84087,0.99834,0.99966,0.995,0.89336,0.54894,0.24918,0.84239,0.000474071,0.000474071,0.000474071
137,3577.22,0.51367,0.28014,0.83348,0.99958,0.99981,0.995,0.88578,0.55565,0.24874,0.84521,0.000466997,0.000466997,0.000466997
138,3603.22,0.50975,0.28002,0.83138,0.99827,1,0.995,0.88825,0.55533,0.24877,0.84564,0.000459924,0.000459924,0.000459924
139,3629.43,0.50281,0.27542,0.83273,0.99938,0.99983,0.995,0.88639,0.56053,0.24922,0.84855,0.00045285,0.00045285,0.00045285
140,3655.61,0.49636,0.27342,0.82514,0.99804,1,0.995,0.88987,0.54814,0.24886,0.84353,0.000445777,0.000445777,0.000445777
141,3681.82,0.50631,0.27461,0.82869,0.99798,0.9998,0.995,0.89361,0.54259,0.24636,0.84619,0.000438703,0.000438703,0.000438703
142,3708.1,0.50879,0.27899,0.83517,0.99833,1,0.995,0.88571,0.55407,0.24837,0.84633,0.000431629,0.000431629,0.000431629
143,3734.28,0.50411,0.276,0.8314,0.99807,0.9996,0.995,0.89112,0.54393,0.24296,0.84305,0.000424556,0.000424556,0.000424556
144,3760.38,0.50922,0.28082,0.8351,0.99919,1,0.995,0.88947,0.55179,0.24399,0.84288,0.000417482,0.000417482,0.000417482
145,3786.41,0.50806,0.27658,0.83096,0.99915,1,0.995,0.89096,0.55211,0.24501,0.84506,0.000410409,0.000410409,0.000410409
146,3812.5,0.49141,0.27164,0.82599,0.99855,0.99951,0.99499,0.89154,0.54903,0.24323,0.84489,0.000403335,0.000403335,0.000403335
147,3838.5,0.50928,0.27523,0.83394,0.99971,0.99983,0.995,0.89246,0.54634,0.24164,0.84415,0.000396262,0.000396262,0.000396262
148,3864.53,0.49751,0.27723,0.83399,0.99918,0.99875,0.995,0.8914,0.54516,0.24415,0.84263,0.000389188,0.000389188,0.000389188
149,3890.66,0.50218,0.27416,0.8279,0.9984,0.99897,0.995,0.89147,0.54959,0.24302,0.84626,0.000382115,0.000382115,0.000382115
150,3916.86,0.49103,0.26873,0.83001,0.99811,1,0.995,0.89412,0.54344,0.2415,0.84413,0.000375041,0.000375041,0.000375041
151,3943.17,0.50067,0.27064,0.8328,0.99856,0.99913,0.995,0.89223,0.54056,0.23849,0.83981,0.000367967,0.000367967,0.000367967
152,3969.96,0.49268,0.27027,0.82953,0.99823,1,0.995,0.89502,0.53818,0.23873,0.83959,0.000360894,0.000360894,0.000360894
153,3996.24,0.48313,0.26503,0.82241,0.99821,1,0.995,0.89002,0.53699,0.23873,0.841,0.00035382,0.00035382,0.00035382
154,4022.15,0.48947,0.2657,0.8289,0.99831,1,0.99499,0.89495,0.5349,0.23831,0.84037,0.000346747,0.000346747,0.000346747
155,4048.17,0.4807,0.26642,0.82724,0.99813,0.9996,0.995,0.88961,0.53857,0.23848,0.84119,0.000339673,0.000339673,0.000339673
156,4074.28,0.48992,0.26786,0.82704,0.99803,0.99997,0.99498,0.8912,0.53248,0.23601,0.83901,0.0003326,0.0003326,0.0003326
157,4100.53,0.47297,0.26118,0.82203,0.99825,0.99995,0.995,0.88448,0.55079,0.24001,0.84219,0.000325526,0.000325526,0.000325526
158,4126.87,0.48788,0.26062,0.82618,0.99827,1,0.995,0.89183,0.54366,0.23933,0.84177,0.000318453,0.000318453,0.000318453
159,4153.15,0.47865,0.2612,0.82587,0.99829,0.99977,0.995,0.89174,0.54267,0.23578,0.84193,0.000311379,0.000311379,0.000311379
160,4179.55,0.48164,0.26137,0.82299,0.99825,0.99995,0.99498,0.89211,0.53805,0.23499,0.84148,0.000304306,0.000304306,0.000304306
161,4205.81,0.48634,0.26349,0.8302,0.99854,0.99985,0.99499,0.89046,0.54494,0.23974,0.843,0.000297232,0.000297232,0.000297232
162,4232.11,0.47153,0.26216,0.82707,0.99822,1,0.995,0.88603,0.54533,0.24054,0.8429,0.000290158,0.000290158,0.000290158
163,4258.19,0.47387,0.25792,0.8305,0.99828,0.99995,0.995,0.89044,0.53467,0.23499,0.84003,0.000283085,0.000283085,0.000283085
164,4284.47,0.47861,0.2613,0.83027,0.99833,1,0.995,0.89128,0.53277,0.23342,0.84071,0.000276011,0.000276011,0.000276011
165,4310.53,0.47575,0.25848,0.8275,0.99834,1,0.99499,0.89321,0.53136,0.23311,0.84081,0.000268938,0.000268938,0.000268938
166,4336.73,0.4793,0.25916,0.82364,0.99823,0.99979,0.99499,0.89624,0.52995,0.23396,0.83787,0.000261864,0.000261864,0.000261864
167,4363.08,0.47596,0.25934,0.82774,0.99822,0.99974,0.995,0.89466,0.53194,0.23368,0.83975,0.000254791,0.000254791,0.000254791
168,4389.37,0.47566,0.25835,0.82652,0.9984,0.99993,0.995,0.89069,0.54336,0.23597,0.84123,0.000247717,0.000247717,0.000247717
169,4415.76,0.47038,0.25556,0.8241,0.99833,0.99981,0.995,0.89484,0.5378,0.23711,0.84083,0.000240644,0.000240644,0.000240644
170,4442.1,0.46482,0.25422,0.82206,0.99812,0.9998,0.99499,0.89116,0.53625,0.23706,0.84128,0.00023357,0.00023357,0.00023357
171,4468.23,0.45388,0.2485,0.8221,0.99834,1,0.995,0.8922,0.53623,0.23653,0.84143,0.000226497,0.000226497,0.000226497
172,4494.47,0.47005,0.25675,0.82572,0.99709,1,0.99498,0.89178,0.53913,0.23614,0.84149,0.000219423,0.000219423,0.000219423
173,4520.65,0.46219,0.25272,0.82447,0.99785,1,0.995,0.89087,0.54265,0.23688,0.84282,0.000212349,0.000212349,0.000212349
174,4546.68,0.46639,0.25298,0.82606,0.99928,0.99875,0.995,0.89087,0.53464,0.23427,0.84078,0.000205276,0.000205276,0.000205276
175,4572.78,0.45112,0.24675,0.82293,0.99805,1,0.995,0.89397,0.53255,0.23313,0.83936,0.000198202,0.000198202,0.000198202
176,4599.06,0.46197,0.2522,0.82323,0.99834,1,0.995,0.89543,0.53107,0.23268,0.8387,0.000191129,0.000191129,0.000191129
177,4625.19,0.46187,0.25273,0.82265,0.99774,0.99983,0.995,0.89516,0.53632,0.23308,0.83959,0.000184055,0.000184055,0.000184055
178,4651.84,0.45881,0.24947,0.82377,0.99776,0.99981,0.995,0.89322,0.54137,0.2347,0.84323,0.000176982,0.000176982,0.000176982
179,4678.16,0.45405,0.24911,0.82021,0.99839,0.99996,0.995,0.89679,0.53453,0.23294,0.8409,0.000169908,0.000169908,0.000169908
180,4704.39,0.44822,0.24275,0.82059,0.99829,0.99982,0.995,0.89609,0.53435,0.23305,0.84083,0.000162835,0.000162835,0.000162835
181,4730.46,0.45085,0.24584,0.81903,0.9982,0.99978,0.995,0.895,0.53384,0.23267,0.84127,0.000155761,0.000155761,0.000155761
